,Hotel,Resort name,Price,Country
6,KLEOPATRA AYTUR SUIT OTEL AptsStandard Without A/C,Инжекум - АланияANTALYAАнталия,677,Чехия
7,KLEOPATRA AYTUR SUIT OTEL AptsStandard with Air Condition,Инжекум - АланияANTALYAАнталия,688,Чехия
8,PARUS HOTEL KEMER 3 *Standard,КемерANTALYAАнталия,693,Чехия
9,KLEOPATRA AYTUR SUIT OTEL AptsStandard with Air Condition,Инжекум - АланияANTALYAАнталия,694,Чехия
10,ASEL RESORT 4 *Standard Room,КемерANTALYAАнталия,696,Чехия
11,KLEOPATRA AYTUR SUIT OTEL AptsStandard Without A/C,Инжекум - АланияANTALYAАнталия,701,Чехия
12,KLEOPATRA AYTUR SUIT OTEL AptsStandard with Air Condition,Инжекум - АланияANTALYAАнталия,704,Чехия
13,KLEOPATRA AYTUR SUIT OTEL AptsStandard with Air Condition,Инжекум - АланияANTALYAАнталия,710,Чехия
14,KLEOPATRA AYTUR SUIT OTEL AptsStandard Without A/C,Инжекум - АланияANTALYAАнталия,712,Чехия
15,KLEOPATRA AYTUR SUIT OTEL AptsStandard Without A/C,Инжекум - АланияANTALYAАнталия,715,Чехия
16,KLEOPATRA AYTUR SUIT OTEL AptsStandard Without A/C,Инжекум - АланияANTALYAАнталия,718,Чехия
17,KLEOPATRA AYTUR SUIT OTEL AptsStandard with Air Condition,Инжекум - АланияANTALYAАнталия,722,Чехия
18,KLEOPATRA AYTUR SUIT OTEL AptsStandard Without A/C,Инжекум - АланияANTALYAАнталия,726,Чехия
19,KLEOPATRA AYTUR SUIT OTEL AptsStandard Without A/C,Инжекум - АланияANTALYAАнталия,727,Чехия
20,PARUS HOTEL KEMER 3 *Standard,КемерANTALYAАнталия,727,Чехия
21,KLEOPATRA AYTUR SUIT OTEL AptsStandard Without A/C,Инжекум - АланияANTALYAАнталия,731,Чехия
22,ASEL RESORT 4 *Standard Room,КемерANTALYAАнталия,732,Чехия
23,KLEOPATRA AYTUR SUIT OTEL AptsStandard with Air Condition,Инжекум - АланияANTALYAАнталия,736,Чехия
24,KLEOPATRA AYTUR SUIT OTEL AptsStandard Without A/C,Инжекум - АланияANTALYAАнталия,743,Чехия
25,KLEOPATRA AYTUR SUIT OTEL AptsStandard with Air Condition,Инжекум - АланияANTALYAАнталия,744,Чехия
26,KLEOPATRA AYTUR SUIT OTEL AptsStandard with Air Condition,Инжекум - АланияANTALYAАнталия,752,Чехия
27,KLEOPATRA AYTUR SUIT OTEL AptsStandard with Air Condition,Инжекум - АланияANTALYAАнталия,754,Чехия
28,PARUS HOTEL KEMER 3 *Standard,КемерANTALYAАнталия,757,Чехия
29,ASEL RESORT 4 *Standard Room,КемерANTALYAАнталия,758,Чехия
30,KLEOPATRA AYTUR SUIT OTEL AptsStandard Without A/C,Инжекум - АланияANTALYAАнталия,762,Чехия
31,PARUS HOTEL KEMER 3 *Standard,КемерANTALYAАнталия,762,Чехия
32,KLEOPATRA AYTUR SUIT OTEL AptsStandard with Air Condition,Инжекум - АланияANTALYAАнталия,764,Чехия
33,KLEOPATRA AYTUR SUIT OTEL AptsStandard Without A/C,Инжекум - АланияANTALYAАнталия,766,Чехия
34,KLEOPATRA AYTUR SUIT OTEL AptsStandard Without A/C,Инжекум - АланияANTALYAАнталия,773,Чехия
35,CLUB HERAKLES HOTEL 3 *Standard,КемерANTALYAАнталия,773,Чехия
36,ASEL RESORT 4 *Standard Room,КемерANTALYAАнталия,774,Чехия
37,PARUS HOTEL KEMER 3 *Standard,КемерANTALYAАнталия,774,Чехия
38,KLEOPATRA AYTUR SUIT OTEL AptsStandard with Air Condition,Инжекум - АланияANTALYAАнталия,780,Чехия
39,KLEOPATRA AYTUR SUIT OTEL AptsStandard Without A/C,Инжекум - АланияANTALYAАнталия,781,Чехия
40,PARUS HOTEL KEMER 3 *Standard,КемерANTALYAАнталия,783,Чехия
41,BALIK HOTEL 3 *Standard,Инжекум - АланияANTALYAАнталия,783,Чехия
42,ASEL RESORT 4 *Standard Room,КемерANTALYAАнталия,786,Чехия
43,PARUS HOTEL KEMER 3 *Standard,КемерANTALYAАнталия,787,Чехия
44,CLUB HERAKLES HOTEL 3 *Standard,КемерANTALYAАнталия,787,Чехия
45,ASEL HOTEL 3 *Standard,КемерANTALYAАнталия,789,Чехия
46,KLEOPATRA AYTUR SUIT OTEL AptsStandard Without A/C,Инжекум - АланияANTALYAАнталия,791,Чехия
47,KLEOPATRA AYTUR SUIT OTEL AptsStandard Without A/C,Инжекум - АланияANTALYAАнталия,791,Чехия
48,PARUS HOTEL KEMER 3 *Standard,КемерANTALYAАнталия,792,Чехия
49,KLEOPATRA AYTUR SUIT OTEL AptsStandard with Air Condition,Инжекум - АланияANTALYAАнталия,794,Чехия
50,KLEOPATRA AYTUR SUIT OTEL AptsStandard Without A/C,Инжекум - АланияANTALYAАнталия,794,Чехия
51,YILDIZ HOTEL 3 *Standard,КемерANTALYAАнталия,795,Чехия
52,KLEOPATRA AYTUR SUIT OTEL AptsStandard with Air Condition,Инжекум - АланияANTALYAАнталия,796,Чехия
53,KLEOPATRA AYTUR SUIT OTEL AptsStandard Without A/C,Инжекум - АланияANTALYAАнталия,796,Чехия
54,MELTEM HOTEL 2 *Standard,АнталияANTALYAАнталия,797,Чехия
55,ASEL RESORT 4 *Standard Room,КемерANTALYAАнталия,800,Чехия
56,PARUS HOTEL KEMER 3 *Standard,КемерANTALYAАнталия,804,Чехия
57,BRITANNIA HOTEL&VILLAS 3 *Standard,КемерANTALYAАнталия,804,Чехия
58,ROSARIUM HOTEL 3 *Standard,КемерANTALYAАнталия,804,Чехия
59,CLUB BAYAR BEACH HOTEL 3 *Standard,Инжекум - АланияANTALYAАнталия,808,Чехия
60,KLEOPATRA AYTUR SUIT OTEL AptsStandard with Air Condition,Инжекум - АланияANTALYAАнталия,808,Чехия
61,LIFE APART Ap.HtlStandard Room,МармарисMARMARISМармарис,810,Чехия
62,ASEL HOTEL 3 *Standard,КемерANTALYAАнталия,811,Чехия
63,CLUB BAYAR BEACH HOTEL 3 *Standard,Инжекум - АланияANTALYAАнталия,812,Чехия
64,MELTEM HOTEL 2 *Standard,АнталияANTALYAАнталия,813,Чехия
65,BALIK HOTEL 3 *Standard,Инжекум - АланияANTALYAАнталия,813,Чехия
66,CLUB HERAKLES HOTEL 3 *Standard,КемерANTALYAАнталия,817,Чехия
67,KLEOPATRA AYTUR SUIT OTEL AptsStandard with Air Condition,Инжекум - АланияANTALYAАнталия,818,Чехия
68,ASEL HOTEL 3 *Standard,КемерANTALYAАнталия,818,Чехия
69,KLEOPATRA AYTUR SUIT OTEL AptsStandard Without A/C,Инжекум - АланияANTALYAАнталия,818,Чехия
70,MELTEM HOTEL 2 *Standard,АнталияANTALYAАнталия,819,Чехия
71,KLEOPATRA AYTUR SUIT OTEL AptsStandard with Air Condition,Инжекум - АланияANTALYAАнталия,820,Чехия
72,PARUS HOTEL KEMER 3 *Standard,КемерANTALYAАнталия,822,Чехия
